JD;Magnitude;ErreurMagnitude
2461212.37707;13.64;0.004
2461212.37864;13.639;0.004
2461212.38022;13.638;0.004
2461212.38179;13.652;0.004
2461212.38337;13.653;0.004
2461212.38494;13.668;0.004
2461212.38652;13.667;0.004
2461212.38809;13.684;0.004
2461212.38967;13.677;0.004
2461212.39124;13.689;0.004
2461212.39288;13.679;0.004
2461212.39445;13.694;0.004
2461212.39603;13.698;0.004
2461212.3976;13.7;0.004
2461212.39918;13.705;0.004
2461212.40232;13.715;0.004
2461212.4039;13.717;0.004
2461212.40547;13.725;0.004
2461212.40705;13.727;0.004
2461212.40862;13.737;0.004
2461212.41019;13.741;0.004
2461212.41177;13.746;0.004
2461212.41334;13.755;0.004
2461212.41492;13.761;0.004
2461212.41649;13.785;0.004
2461212.41807;13.772;0.004
2461212.41964;13.781;0.004
2461212.42122;13.79;0.004
2461212.42279;13.789;0.004
2461212.42437;13.8;0.004
2461212.42594;13.802;0.004
2461212.42751;13.815;0.004
2461212.42909;13.813;0.004
2461212.43066;13.825;0.004
2461212.43224;13.822;0.004
2461212.43381;13.829;0.004
2461212.43539;13.837;0.004
2461212.43696;13.848;0.004
2461212.43865;13.86;0.004
2461212.44023;13.866;0.004
2461212.4418;13.866;0.004
2461212.44338;13.869;0.004
2461212.44495;13.877;0.004
2461212.44653;13.89;0.004
2461212.4481;13.891;0.004
2461212.44974;13.906;0.004
2461212.45131;13.905;0.004
2461212.45289;13.912;0.004
2461212.45446;13.918;0.004
2461212.45604;13.932;0.004
2461212.45919;13.938;0.004
2461212.46076;13.942;0.004
2461212.46234;13.953;0.004
2461212.46391;13.952;0.004
2461212.46549;13.956;0.004
2461212.46706;13.959;0.004
2461212.46864;13.975;0.004
2461212.47021;13.981;0.004
2461212.47178;13.989;0.004
2461212.47336;13.982;0.004
2461212.47493;13.993;0.004
2461212.47651;14.002;0.004
2461212.47808;14.007;0.004
2461212.48163;14.0;0.004
2461212.4833;14.004;0.004
2461212.48541;14.005;0.004
2461212.48721;13.999;0.004
2461212.48901;14.007;0.004
2461212.49058;14.019;0.004
2461212.49216;14.01;0.004
2461212.49373;14.02;0.004
2461212.49531;14.013;0.004
2461212.49688;14.013;0.004
2461212.49846;14.016;0.004
2461212.50003;14.014;0.004
2461212.50161;14.014;0.004
2461212.50318;14.014;0.004
2461212.50476;14.008;0.004
2461212.50633;14.02;0.004
2461212.50791;14.021;0.004
2461212.50948;14.009;0.004
2461212.51106;14.01;0.004
2461212.51263;14.013;0.004
2461212.51421;14.015;0.004
2461212.51578;14.003;0.004
2461212.51736;14.008;0.004
2461212.51899;14.013;0.004
2461212.52057;14.011;0.004
2461212.52214;14.006;0.004
2461212.52372;14.0;0.004
2461212.52536;14.006;0.004
2461212.52693;14.001;0.004
2461212.52851;14.0;0.004
2461212.53008;13.998;0.004
2461212.53172;14.0;0.004
2461212.53329;13.991;0.004
2461212.53487;13.988;0.004
2461212.53644;13.979;0.005
2461212.53802;13.985;0.004
2461212.53959;13.982;0.004
2461212.54117;13.971;0.004
2461212.54274;13.965;0.004
2461212.54432;13.967;0.004
2461212.5459;13.959;0.004
2461212.54747;13.952;0.004
2461212.54904;13.946;0.004
2461212.55068;13.941;0.004
2461212.55226;13.932;0.004
2461212.55383;13.931;0.004
2461212.55541;13.912;0.004
2461212.55699;13.914;0.004
2461212.55856;13.899;0.004
2461212.56014;13.876;0.004
2461212.56172;13.872;0.004
2461212.56329;13.851;0.004
2461212.56493;13.842;0.004
2461212.56651;13.822;0.004
2461212.56808;13.802;0.004
2461212.56966;13.787;0.004
2461212.57123;13.758;0.004
2461212.57281;13.744;0.004
2461212.57439;13.724;0.004
2461212.57596;13.701;0.004
2461212.57754;13.685;0.004
2461212.57911;13.662;0.004
2461212.58069;13.639;0.004
