JD;Magnitude;ErreurMagnitude
2461218.38101;14.018;0.005
2461218.38259;14.003;0.005
2461218.38416;14.019;0.005
2461218.38573;14.009;0.005
2461218.38731;13.987;0.005
2461218.39203;13.996;0.005
2461218.39361;13.999;0.005
2461218.39518;13.985;0.005
2461218.39675;13.985;0.005
2461218.39833;13.988;0.005
2461218.3999;13.979;0.005
2461218.40148;13.968;0.005
2461218.40305;13.981;0.005
2461218.40463;13.971;0.005
2461218.40778;13.963;0.005
2461218.40935;13.961;0.005
2461218.41093;13.949;0.005
2461218.4125;13.963;0.005
2461218.41565;13.938;0.005
2461218.41722;13.935;0.005
2461218.4188;13.921;0.005
2461218.42037;13.918;0.005
2461218.42195;13.904;0.005
2461218.42352;13.899;0.005
2461218.4251;13.873;0.005
2461218.42667;13.859;0.005
2461218.42825;13.861;0.005
2461218.42982;13.826;0.005
2461218.4314;13.826;0.004
2461218.43297;13.791;0.004
2461218.43455;13.781;0.004
2461218.43612;13.771;0.004
2461218.4377;13.736;0.004
2461218.43927;13.724;0.004
2461218.44085;13.695;0.004
2461218.44242;13.697;0.004
2461218.444;13.661;0.004
2461218.44557;13.654;0.004
2461218.44715;13.63;0.004
2461218.44872;13.614;0.004
2461218.4503;13.617;0.004
2461218.45187;13.596;0.004
2461218.45345;13.591;0.004
2461218.45502;13.581;0.004
2461218.45817;13.574;0.004
2461218.45974;13.57;0.004
2461218.46132;13.564;0.004
2461218.46289;13.578;0.004
2461218.47339;13.566;0.004
2461218.47503;13.57;0.004
2461218.47661;13.562;0.004
2461218.47818;13.566;0.004
2461218.47976;13.565;0.004
2461218.48133;13.555;0.004
2461218.48291;13.543;0.004
2461218.48448;13.547;0.004
2461218.48606;13.546;0.004
2461218.48763;13.537;0.004
2461218.48921;13.543;0.004
2461218.49078;13.54;0.004
2461218.49236;13.531;0.004
2461218.49393;13.527;0.004
2461218.49551;13.539;0.004
2461218.49708;13.542;0.004
2461218.49865;13.541;0.004
2461218.50023;13.544;0.004
2461218.5018;13.542;0.004
2461218.50338;13.537;0.004
2461218.50495;13.559;0.004
2461218.50653;13.555;0.004
2461218.5081;13.552;0.004
2461218.50968;13.556;0.004
2461218.51125;13.563;0.004
2461218.51283;13.571;0.004
2461218.5144;13.578;0.004
2461218.51597;13.567;0.004
2461218.51767;13.578;0.004
2461218.51925;13.581;0.004
2461218.52082;13.589;0.004
2461218.5224;13.59;0.004
2461218.52397;13.597;0.004
2461218.52555;13.605;0.004
2461218.52712;13.612;0.004
2461218.5287;13.613;0.004
2461218.53027;13.62;0.004
2461218.53185;13.621;0.004
2461218.53342;13.622;0.004
2461218.535;13.633;0.004
2461218.53657;13.636;0.004
2461218.53815;13.637;0.004
2461218.53972;13.641;0.004
2461218.5413;13.647;0.004
2461218.54287;13.649;0.004
2461218.54451;13.66;0.004
2461218.54609;13.655;0.004
2461218.54766;13.67;0.004
2461218.54924;13.675;0.004
2461218.55087;13.68;0.004
2461218.55245;13.689;0.004
2461218.55402;13.682;0.004
2461218.5556;13.702;0.004
2461218.55717;13.698;0.004
2461218.55875;13.698;0.004
2461218.56032;13.707;0.004
2461218.5619;13.722;0.004
2461218.56348;13.715;0.004
2461218.56505;13.72;0.004
2461218.56663;13.737;0.004
2461218.5682;13.731;0.004
2461218.56978;13.736;0.004
2461218.57135;13.746;0.004
2461218.57293;13.753;0.004
2461218.5745;13.767;0.004
2461218.57608;13.769;0.004
2461218.57765;13.778;0.004
2461218.57923;13.775;0.004
