JD;Magnitude;ErreurMagnitude
2461211.38543;13.913;0.004
2461211.38701;13.9;0.004
2461211.38858;13.889;0.004
2461211.39016;13.877;0.004
2461211.39173;13.865;0.004
2461211.3933;13.855;0.004
2461211.39488;13.828;0.004
2461211.39645;13.814;0.004
2461211.39803;13.793;0.004
2461211.3996;13.779;0.004
2461211.40118;13.757;0.004
2461211.40275;13.742;0.004
2461211.40433;13.715;0.004
2461211.4059;13.696;0.004
2461211.40748;13.672;0.004
2461211.40905;13.658;0.004
2461211.41063;13.645;0.004
2461211.4122;13.623;0.004
2461211.41378;13.615;0.004
2461211.41535;13.608;0.004
2461211.41693;13.6;0.004
2461211.4185;13.587;0.004
2461211.42008;13.58;0.004
2461211.42165;13.578;0.004
2461211.42323;13.577;0.004
2461211.4248;13.569;0.004
2461211.42637;13.566;0.004
2461211.42795;13.575;0.004
2461211.42952;13.568;0.004
2461211.4311;13.57;0.004
2461211.43267;13.572;0.004
2461211.43424;13.572;0.004
2461211.43582;13.565;0.004
2461211.43739;13.557;0.004
2461211.43897;13.559;0.004
2461211.44054;13.555;0.004
2461211.44212;13.565;0.004
2461211.44369;13.554;0.004
2461211.44527;13.558;0.004
2461211.44684;13.547;0.004
2461211.44841;13.545;0.004
2461211.44999;13.534;0.004
2461211.45156;13.529;0.004
2461211.45314;13.54;0.004
2461211.45471;13.538;0.004
2461211.45629;13.543;0.004
2461211.45786;13.53;0.004
2461211.45944;13.524;0.004
2461211.46101;13.54;0.004
2461211.46259;13.535;0.004
2461211.46416;13.535;0.004
2461211.46574;13.543;0.004
2461211.46731;13.541;0.004
2461211.46888;13.546;0.004
2461211.47046;13.553;0.004
2461211.47203;13.563;0.004
2461211.47361;13.558;0.004
2461211.47518;13.563;0.004
2461211.47676;13.571;0.004
2461211.47833;13.561;0.004
2461211.47991;13.566;0.004
2461211.48148;13.577;0.004
2461211.48466;13.584;0.004
2461211.48649;13.595;0.004
2461211.4886;13.596;0.004
2461211.49052;13.612;0.004
2461211.49244;13.597;0.004
2461211.49401;13.615;0.004
2461211.49559;13.609;0.004
2461211.49716;13.616;0.004
2461211.49874;13.628;0.004
2461211.50031;13.63;0.004
2461211.50189;13.626;0.004
2461211.50346;13.639;0.004
2461211.50504;13.647;0.004
2461211.50661;13.649;0.004
2461211.50819;13.651;0.004
2461211.50976;13.666;0.004
2461211.51134;13.672;0.004
2461211.51291;13.677;0.004
2461211.51449;13.675;0.004
2461211.51606;13.682;0.004
2461211.51764;13.685;0.004
2461211.51921;13.694;0.004
2461211.52085;13.695;0.004
2461211.52249;13.706;0.004
2461211.52406;13.711;0.004
2461211.52563;13.711;0.004
2461211.52721;13.725;0.004
2461211.52879;13.733;0.004
2461211.53036;13.735;0.004
2461211.53194;13.736;0.004
2461211.53351;13.745;0.004
2461211.53509;13.75;0.004
2461211.53667;13.758;0.004
2461211.53824;13.757;0.004
2461211.54145;13.768;0.004
2461211.54302;13.779;0.004
2461211.54466;13.794;0.004
2461211.54623;13.79;0.004
2461211.54781;13.801;0.004
2461211.54939;13.805;0.004
2461211.55096;13.813;0.004
2461211.55254;13.83;0.004
2461211.55418;13.825;0.004
2461211.55575;13.824;0.004
2461211.55751;13.844;0.004
2461211.55909;13.843;0.004
2461211.56066;13.826;0.004
2461211.56224;13.865;0.004
2461211.56381;13.869;0.004
2461211.56539;13.873;0.004
2461211.56697;13.875;0.004
2461211.56854;13.888;0.004
2461211.57012;13.885;0.004
2461211.5717;13.907;0.004
2461211.57333;13.909;0.004
2461211.57491;13.908;0.004
2461211.57649;13.917;0.004
2461211.57806;13.929;0.004
2461211.57963;13.93;0.004
2461211.58121;13.939;0.004
